epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
40	0.06603946536779404	0.9472779631614685	0.7356751561164856	10149174.0	21475196.0	383937536.0	458145.0	0.9568085960269508	0.947028807176189	0.9519187016015699	0.09400704503059387	0.9598298668861389	0.7389556765556335	766772.0	1168267.0	29149924.0	83782.0	0.9014971418628329	0.9614664674419394	0.9314818046523862
41	0.06664835661649704	0.9469931721687317	0.7352277636528015	10141712.0	21586460.0	383825920.0	465607.0	0.9561051194934366	0.9467543147054365	0.9514297170994366	0.08980376273393631	0.9575197696685791	0.7406622171401978	773616.0	1247119.0	29071068.0	76938.0	0.9095436621307994	0.9588656472103692	0.9342046546705842
42	0.06566183269023895	0.9476431012153625	0.7370328903198242	10152474.0	21326588.0	384085920.0	454845.0	0.9571197019718177	0.947395337886319	0.9522575199290684	0.09386235475540161	0.957879900932312	0.7377050518989563	768925.0	1231204.0	29086980.0	81629.0	0.9040284332329281	0.9593905756360606	0.9317095044344943
43	0.06539622694253922	0.9477245211601257	0.7375038862228394	10156223.0	21296532.0	384116000.0	451096.0	0.9574731371800923	0.9474694778305471	0.9524713075053197	0.09282916784286499	0.9588226675987244	0.7447075247764587	770457.0	1203347.0	29114840.0	80097.0	0.9058296122292059	0.9603094010865492	0.9330695066578776
44	0.06517565995454788	0.9479015469551086	0.7374302744865417	10159040.0	21225758.0	384187008.0	448279.0	0.9577387085275743	0.9476440808477156	0.952691394687645	0.09477663785219193	0.9611814022064209	0.7436918020248413	765458.0	1124831.0	29193364.0	85096.0	0.89995226640519	0.962899143567089	0.9314257049861395
45	0.06483202427625656	0.9480623006820679	0.7385812997817993	10163657.0	21163544.0	384249152.0	443662.0	0.9581739740268017	0.9477975302480414	0.9529857521374215	0.09425095468759537	0.9583563208580017	0.7418384552001953	769730.0	1217150.0	29101036.0	80824.0	0.904974875198988	0.9598541284758924	0.9324145018374401
46	0.06486229598522186	0.9481745362281799	0.738784670829773	10160361.0	21113616.0	384298784.0	446958.0	0.9578632451800497	0.9479206457424588	0.9528919454612543	0.09775557368993759	0.9623063206672668	0.7436487674713135	761419.0	1085730.0	29232460.0	89135.0	0.8952035967146119	0.9641888252563889	0.9296962109855005
47	0.06436516344547272	0.9484216570854187	0.739574134349823	10167235.0	21017608.0	384395232.0	440084.0	0.9585112882906605	0.9481575176553362	0.9533344029729983	0.10043706744909286	0.9637220501899719	0.7411612868309021	756857.0	1037039.0	29281154.0	93697.0	0.8898400336721713	0.9657948282076045	0.9278174309398879
48	0.06420638412237167	0.9487116932868958	0.7392220497131348	10166164.0	20895748.0	384516800.0	441155.0	0.9584103202703718	0.9484580630197958	0.9534341916450838	0.0942879468202591	0.9591988921165466	0.7404645681381226	767822.0	1188985.0	29129200.0	82732.0	0.9027316313837804	0.9607831075639917	0.9317573694738861
49	0.06403650343418121	0.948657214641571	0.7400707602500916	10169571.0	20921928.0	384490528.0	437748.0	0.9587315135898147	0.9483934751131573	0.953562494351486	0.1000027284026146	0.9623653292655945	0.738985002040863	758914.0	1081382.0	29236808.0	91640.0	0.8922584574289228	0.9643322375115401	0.9282953474702315
50	0.06365408003330231	0.949116051197052	0.7410751581192017	10171680.0	20733336.0	384679296.0	435639.0	0.9589303385709433	0.9488586828246635	0.9538945106978034	0.09730412811040878	0.9594122767448425	0.7408559918403625	764410.0	1178920.0	29139272.0	86144.0	0.8987201282928539	0.9611150955175691	0.9299176119052115
